CodName,Capacidade,Laborotario,Andar,Bloco,Sala,Predio
S1,35,FALSE,0,1,100,CCET
S2,50,FALSE,0,7,101,CCET
S3,45,FALSE,0,9,101,CCET
S4,50,FALSE,0,7,102,CCET
S5,35,FALSE,0,9,102,CCET
S6,35,FALSE,0,7,103,CCET
S7,30,FALSE,0,9,103,CCET
S8,40,FALSE,0,7,104,CCET
S9,45,FALSE,0,9,104,CCET
S10,30,FALSE,0,7,105,CCET
S11,30,FALSE,0,7,106,CCET
S12,35,FALSE,0,7,107,CCET
S13,35,FALSE,0,7,108,CCET
S14,15,FALSE,1,1,199,CCET
S15,35,FALSE,1,1,200,CCET
S16,25,FALSE,1,7,204,CCET
S17,30,FALSE,1,7,208,CCET
S18,25,FALSE,2,6,306,CCET
S19,60,FALSE,2,6,317,CCET
S20,30,TRUE,0,8,LI 1,CCET
S21,25,TRUE,0,8,LI 2,CCET
S22,56,TRUE,0,5,LI 3,CCET
S23,25,TRUE,0,5,LI 4,CCET
S24,60,FALSE,1,Norte,107,PF
S25,60,FALSE,2,Norte,201,PF
S26,60,FALSE,2,Norte,202,PF
S27,60,FALSE,2,Norte,205,PF
S28,60,FALSE,3,Norte,303,PF
S29,60,FALSE,3,Norte,304,PF
S30,60,TRUE,2,8,LI 5 [NEW],CCET
S31,60,TRUE,2,5,LI 6 [NEW],CCET
